Project ID,Lead CI,Institution,Title,FoR-08,MASSIVE Allocation kSU,Gadi Allocation kSU,Setonix CPU Allocation kSU,Setonix GPU Allocation kSU,Total Allocation kSU
NCMAS-2022-18,Irene Yarovsky,Royal Melbourne Institute of Technology,Theoretical Investigation of novel materials for industrial and biomedical applications,"030307 Theory and Design of Materials: 70%
030799 Theoretical and Computational Chemistry not elsewhere classified: 30%",,3500,4000,7000,14500
NCMAS-2022-128,Yuan-Sen Ting,Australian National University,"Modeling Spectra of Stars: 3D Magneto-Hydrodynamical Stellar Atmosphere, Non-Equilibrium Radiative Transfer, and Machine Learning Generative Models","020110 Stellar Astronomy and Planetary Systems: 80%
020104 Galactic Astronomy: 20%",,9500,,,9500
NCMAS-2022-79,Jack Evans,University of Adelaide,Simulations of dynamic materials for heterogeneous catalysis,"030307 Theory and Design of Materials: 60%
030601 Catalysis and Mechanisms of Reactions: 20%
030703 Reaction Kinetics and Dynamics: 20%",,500,,,500
NCMAS-2022-153,Andrew Hung,Royal Melbourne Institute of Technology,Developing New Treatments for Pain,"030402 Biomolecular Modelling and Design: 50%
030406 Proteins and Peptides: 30%
030401 Biologically Active Molecules: 10%
060102 Bioinformatics: 10%",,500,500,1250,2250
NCMAS-2022-20,Jared Cole,Royal Melbourne Institute of Technology,The materials science of next generation quantum devices.,"020404 Electronic and Magnetic Properties of Condensed Matter; Superconductivity: 35%
020600 Quantum Physics: 20%
020502 Lasers and Quantum Electronics: 15%
020604 Quantum Optics: 10%
091204 Elemental Semiconductors: 10%
091208 Organic Semiconductors: 10%",,750,,,750
NCMAS-2022-106,Tim Gould,Griffith University,HPC-enabled rational design of energy storage materials,"030300 Macromolecular and Materials Chemistry: 34%
091202 Composite and Hybrid Materials: 33%
091205 Functional Materials: 33%",,500,,,500
NCMAS-2022-38,Cheong Xin Chan,University of Queensland,Comparative and Evolutionary Genomics of Microbes from Diverse Environments,"060409 Molecular Evolution: 20%
060408 Genomics: 20%
060407 Genome Structure and Regulation: 20%
060309 Phylogeny and Comparative Analysis: 20%
010406 Stochastic Analysis and Modelling: 20%",,4000,,,4000
NCMAS-2022-126,Joel Brugger,Monash University,Thermodynamics of the Earth’s metal factory,"040200 Geochemistry: 70%
091400 Resources Engineering and Extractive Metallurgy: 30%",,,500,1000,1500
NCMAS-2022-23,Ziqi Sun,Queensland University of Technology,Two-Dimensional Oxides Supported Non-noble Single-atom for Sustainable Fuel Generations,"030701 Quantum Chemistry: 40%
020406 Surfaces and Structural Properties of Condensed Matter: 20%
030601 Catalysis and Mechanisms of Reactions: 20%
091305 Energy Generation, Conversion and Storage Engineering: 20%",,1000,,,1000
NCMAS-2022-2,Andrew Christofferson,Royal Melbourne Institute of Technology,"Multiscale computational investigation of materials and biomolecules for health, environmental, and commercial applications","030700 Theoretical and Computational Chemistry: 50%
100703 Nanobiotechnology: 50%",,500,500,1000,2000
NCMAS-2022-25,Santiago Badia,Monash University,Towards large-scale inverse solvers for subsurface problems with stochastic interfaces,"010302 Numerical Solution of Differential and Integral Equations: 60%
010301 Numerical Analysis: 40%",,750,,,750
NCMAS-2022-121,Ting Liao,Queensland University of Technology,Computational Design of Two-Dimensional Hybrids Based Nanomaterials for Sustainable Energy Application,"091205 Functional Materials: 40%
030700 Theoretical and Computational Chemistry: 40%
020406 Surfaces and Structural Properties of Condensed Matter: 20%",,500,,,500
NCMAS-2022-89,Haibo Yu,University of Wollongong,Computer simulations of molecular systems and computer-aided molecular design,"060112 Structural Biology (incl. Macromolecular Modelling): 30%
030400 Medicinal and Biomolecular Chemistry: 30%
030307 Theory and Design of Materials: 20%
030700 Theoretical and Computational Chemistry: 20%",,1800,500,1000,3300
NCMAS-2022-22,Dino Spagnoli,University of Western Australia,Computer Simulations of Co-Crystal and Defect Formations in Solids,"030700 Theoretical and Computational Chemistry: 30%
020403 Condensed Matter Modelling and Density Functional Theory: 30%
020404 Electronic and Magnetic Properties of Condensed Matter; Superconductivity: 20%
040302 Extraterrestrial Geology: 20%",,,500,1000,1500
NCMAS-2022-53,Oleg Tretiakov,University of NSW,Thermoelectric and Magnetic Properties of Topological Materials,"020403 Condensed Matter Modelling and Density Functional Theory: 50%
020404 Electronic and Magnetic Properties of Condensed Matter; Superconductivity: 50%",,500,,,500
NCMAS-2022-50,Patrick Burr,University of NSW,Hydrogen-induced materials degradation,"091207 Metals and Alloy Materials: 50%
020403 Condensed Matter Modelling and Density Functional Theory: 25%
030307 Theory and Design of Materials: 25%",200,3000,750,2000,5950
NCMAS-2022-99,Lloyd Hollenberg,University of Melbourne,Quantum Computer Device Simulations,"020600 Quantum Physics: 50%
020403 Condensed Matter Modelling and Density Functional Theory: 50%",,500,500,,1000
NCMAS-2022-71,Amir Karton,University of Western Australia,High-level quantum chemistry: From theory to thermochemical and biochemical application,"030799 Theoretical and Computational Chemistry not elsewhere classified: 80%
030501 Free Radical Chemistry: 20%",,1600,,,1600
NCMAS-2022-28,Damien Batstone,University of Queensland,Computational Fluid Dynamics for Sewage and Wastewater Treatment Infrastructure,"090702 Environmental Engineering Modelling: 70%
090701 Environmental Engineering Design: 30%",,3500,,,3500
NCMAS-2022-61,Ekaterina Pas,Monash University,"Large-scale calculations for selection and design of materials for applications in Catalysis, Renewable Energy and Medical Engineering","030701 Quantum Chemistry: 40%
030305 Polymerisation Mechanisms: 15%
030601 Catalysis and Mechanisms of Reactions: 15%
030307 Theory and Design of Materials: 15%
091205 Functional Materials: 15%",,1000,,,1000
NCMAS-2022-84,Vanessa Hayes,University of Sydney,Resolving Prostate Cancer Health Disparities Through Population-scale Genomic Interrogation,"060408 Genomics: 50%
060102 Bioinformatics: 30%
111203 Cancer Genetics: 20%",,500,,,500
NCMAS-2022-60,Federico Maggi,University of Sydney,Global soil and water resource in a changing climate,"090702 Environmental Engineering Modelling: 34%
050302 Land Capability and Soil Degradation: 33%
050300 Soil Sciences: 33%",,500,,,500
NCMAS-2022-58,Ravichandar Babarao,Royal Melbourne Institute of Technology,In silico design of nanomaterials for energy and environmental sustainability applications,"020400 Condensed Matter Physics: 50%
030700 Theoretical and Computational Chemistry: 30%
030302 Nanochemistry and Supramolecular Chemistry: 20%",,500,500,1000,2000
NCMAS-2022-13,Ha Bui,Monash University,UNRAVELLING MICRO-MACRO LINKS IN PREDICTIONS OF GRANULAR FAILURE,"090501 Civil Geotechnical Engineering: 70%
091402 Geomechanics and Resources Geotechnical Engineering: 30%",,1000,500,,1500
NCMAS-2022-74,Richmond Lee,University of Wollongong,Computationally-Guided Catalysis & Molecular Design,"030601 Catalysis and Mechanisms of Reactions: 34%
030699 Physical Chemistry not elsewhere classified: 33%
030505 Physical Organic Chemistry: 33%",,1000,,,1000
NCMAS-2022-8,Reuben Kirkham,Monash University,Navigation-Documentation Simulations,"080602 Computer-Human Interaction: 75%
220104 Human Rights and Justice Issues: 25%",,500,,,500
NCMAS-2022-119,Alisa Glukhova,University of Melbourne,Application of cryo-electron microscopy to structure determination of proteins and protein complexes involved in cell signal transduction and therapeutically relevant biologics against COVID-19,"060111 Signal Transduction: 25%
110702 Applied Immunology (incl. Antibody Engineering, Xenotransplantation and T-cell Therapies): 25%
060112 Structural Biology (incl. Macromolecular Modelling): 25%
060110 Receptors and Membrane Biology: 25%",70,,,,70
NCMAS-2022-129,Rajib Rahman,University of NSW,Multiscale Multiphysics Simulations of Silicon Quantum Information Processing Units,"020403 Condensed Matter Modelling and Density Functional Theory: 50%
020603 Quantum Information, Computation and Communication: 50%",,4000,,,4000
NCMAS-2022-80,Christopher Leonardi,University of Queensland,Direct numerical simulation of complex fracture flows for geoscientific applications,"091406 Petroleum and Reservoir Engineering: 50%
091501 Computational Fluid Dynamics: 50%",,,500,1000,1500
NCMAS-2022-29,Dietmar Mueller,University of Sydney,Earth dynamics and resources over the last billion years,"040402 Geodynamics: 40%
040403 Geophysical Fluid Dynamics: 30%
040607 Surface Processes: 20%
040311 Stratigraphy (incl. Biostratigraphy and Sequence Stratigraphy): 10%",,4000,,,4000
NCMAS-2022-3,Levin Kuhlmann,Monash University,AI for Neurology and Brain imaging,010300 Numerical and Computational Mathematics: 100%,900,,,,900
NCMAS-2022-9,Andrew Ooi,University of Melbourne,Gravity Current Driven Smoke Dispersion In a Stratified Ambient,"050204 Environmental Impact Assessment: 40%
091502 Computational Heat Transfer: 30%
091501 Computational Fluid Dynamics: 30%",,500,3000,,3500
NCMAS-2022-83,Mark Thompson,Monash University,"Transition, stability and control of bluff body flows","091504 Fluidisation and Fluid Mechanics: 30%
020303 Fluid Physics: 30%
090101 Aerodynamics (excl. Hypersonic Aerodynamics): 20%
091304 Dynamics, Vibration and Vibration Control: 20%",,2000,2000,3000,7000
NCMAS-2022-44,Zhe Liu,University of Melbourne,Integrated Computational Materials Engineering for Energy Materials,"100708 Nanomaterials: 50%
030699 Physical Chemistry not elsewhere classified: 25%
020403 Condensed Matter Modelling and Density Functional Theory: 25%",,2500,1500,3500,7500
NCMAS-2022-145,David Huang,University of Adelaide,Multi-scale modelling of soft condensed matter in functional materials,"030704 Statistical Mechanics in Chemistry: 45%
030607 Transport Properties and Non-Equilibrium Processes: 35%
020405 Soft Condensed Matter: 20%",,500,,,500
NCMAS-2022-36,Claire Vincent,University of Melbourne,"Clouds, rain and Climate: Mapping a hierarchy of cloud and rainfall processes to our global climate system.","040102 Atmospheric Dynamics: 50%
040107 Meteorology: 50%",,2000,,,2000
NCMAS-2022-133,Yan Jiao,University of Adelaide,Design Clean Energy Conversion and Storage Materials by Molecular Modelling,"091200 Materials Engineering: 35%
030304 Physical Chemistry of Materials: 25%
100700 Nanotechnology: 20%
030601 Catalysis and Mechanisms of Reactions: 20%",,1900,1900,,3800
NCMAS-2022-148,Joseph Horvat,University of Wollongong,Blue shift of terahertz absorption lines for molecular crystals,"020400 Condensed Matter Physics: 50%
020201 Atomic and Molecular Physics: 50%",,500,,,500
NCMAS-2022-130,David Thomas,Garvan Institute of Medical Research,A whole genome study to map heritable risk in sarcoma,"111203 Cancer Genetics: 75%
111202 Cancer Diagnosis: 25%",,750,,,750
NCMAS-2022-103,Evelyne Deplazes,University of Queensland,Towards realistic models of permeability and pore formation in biological membranes,"030403 Characterisation of Biological Macromolecules: 40%
030402 Biomolecular Modelling and Design: 30%
060112 Structural Biology (incl. Macromolecular Modelling): 30%",,,500,1000,1500
NCMAS-2022-116,Fatemeh Salehi,Macquarie University,Turbulent spray flows,091508 Turbulent Flows: 100%,,500,,,500
NCMAS-2022-77,Julio Soria,Monash University,Investigations of transitional and turbulent shear flows using direct numerical simulations and large eddy simulations,"091508 Turbulent Flows: 70%
091504 Fluidisation and Fluid Mechanics: 15%
090101 Aerodynamics (excl. Hypersonic Aerodynamics): 15%",,8000,9000,10000,27000
NCMAS-2022-78,Aman G. Kidanemariam,University of Melbourne,Direct numerical simulation of turbulent shallow flows with deformable free-surface,"090700 Environmental Engineering: 30%
091103 Ocean Engineering: 30%
090500 Civil Engineering: 25%
091300 Mechanical Engineering: 15%",,3000,,,3000
NCMAS-2022-142,Toby Allen,Royal Melbourne Institute of Technology,Mechanisms of ion channel function and modulation.,"030799 Theoretical and Computational Chemistry not elsewhere classified: 50%
029901 Biological Physics: 50%",,500,,1000,1500
NCMAS-2022-97,Boyin Ding,University of Adelaide,Advanced Control and high fidelity analysis: the fast-track to commercialisation of wave energy converters,"091501 Computational Fluid Dynamics: 30%
091302 Automation and Control Engineering: 30%
080110 Simulation and Modelling: 20%
091103 Ocean Engineering: 20%",,,500,2000,2500
