Project ID,Lead CI,Institution,Title,FoR-08,Gadi Allocation kSU,Setonix CPU Allocation kSU,Setonix GPU Allocation kSU,Total Allocation kSU
NCMAS-2023-88,Elizabeth Krenske,University of Queensland,Computational Investigations of Molecular Structure and Reactivity,"030701 Quantum Chemistry: 20%
030601 Catalysis and Mechanisms of Reactions: 20%
030402 Biomolecular Modelling and Design: 20%
030503 Organic Chemical Synthesis: 20%
030307 Theory and Design of Materials: 20%",1000,250,1000,2250
NCMAS-2023-45,Julian Gale,Curtin University of Technology,Atomistic Simulation for Geochemistry and Nanoscience,"030600 Physical Chemistry (including Structural): 30%
020406 Surfaces and Structural Properties of Condensed Matter: 25%
030704 Statistical Mechanics in Chemistry: 20%
030701 Quantum Chemistry: 15%
040306 Mineralogy and Crystallography: 10%",7000,12000,7000,26000
NCMAS-2023-120,David Huang,University of Adelaide,Multi-scale modelling of soft condensed matter in functional materials,"030704 Statistical Mechanics in Chemistry: 45%
030607 Transport Properties and Non-Equilibrium Processes: 35%
020405 Soft Condensed Matter: 20%",1000,,,1000
NCMAS-2023-136,Ting Liao,Queensland University of Technology,Computational Design of Two-Dimensional Hybrids Based Nanomaterials for Sustainable Energy Application,"030700 Theoretical and Computational Chemistry: 40%
091205 Functional Materials: 40%
020406 Surfaces and Structural Properties of Condensed Matter: 20%",1000,1500,,2500
NCMAS-2023-145,Haibo Yu,University of Wollongong,Computer simulations of molecular systems and computer-aided molecular design,"060112 Structural Biology (incl. Macromolecular Modelling): 30%
030400 Medicinal and Biomolecular Chemistry: 30%
030700 Theoretical and Computational Chemistry: 20%
030307 Theory and Design of Materials: 20%",1000,2500,500,4000
NCMAS-2023-15,Daniel Chung,University of Melbourne,Direct numerical simulation of wall-bounded and buoyancy-driven turbulent flows,091508 Turbulent Flows: 100%,5000,10000,,15000
NCMAS-2023-139,Merlinde Kay,University of NSW,Australian Solar Resource Assessment and Forecasting,"090608 Renewable Power and Energy Systems Engineering (excl. Solar Cells): 50%
040106 Cloud Physics: 25%
040103 Atmospheric Radiation: 25%",1000,,,1000
NCMAS-2023-37,Maryam Ghodrat,UNSW Canberra,CFD Simulation of fire-wind interaction and its effect on buildings in bushfire prone areas,"070503 Forestry Fire Management: 50%
091502 Computational Heat Transfer: 30%
091300 Mechanical Engineering: 20%",1000,,,1000
NCMAS-2023-33,Debra Bernhardt,University of Queensland,"Molecular systems out of equilibrium: theory, simulation and application","030307 Theory and Design of Materials: 20%
020403 Condensed Matter Modelling and Density Functional Theory: 20%
030701 Quantum Chemistry: 20%
020304 Thermodynamics and Statistical Physics: 20%
030607 Transport Properties and Non-Equilibrium Processes: 20%",1000,4000,3000,8000
NCMAS-2023-54,Nicholas Williamson,University of Sydney,Dynamics of Intermittent and Suppressed Mixing Regimes in Australian Rivers,"091501 Computational Fluid Dynamics: 34%
091508 Turbulent Flows: 33%
091504 Fluidisation and Fluid Mechanics: 33%",1000,,,1000
NCMAS-2023-47,Jack Evans,University of Adelaide,Simulations of dynamic materials for heterogeneous catalysis,"030307 Theory and Design of Materials: 60%
030601 Catalysis and Mechanisms of Reactions: 20%
030703 Reaction Kinetics and Dynamics: 20%",,500,500,1000
NCMAS-2023-11,Michelle Spencer,Royal Melbourne Institute of Technology,Modelling Nanoscale Materials for Sensing and Device Applications,"020403 Condensed Matter Modelling and Density Functional Theory: 50%
030700 Theoretical and Computational Chemistry: 50%",1500,7000,,8500
NCMAS-2023-118,Judy Hart,University of NSW,Design and development of photoactive and catalytic materials for efficient solar-to-fuel conversion,"030307 Theory and Design of Materials: 35%
030304 Physical Chemistry of Materials: 30%
030206 Solid State Chemistry: 20%
020403 Condensed Matter Modelling and Density Functional Theory: 15%",1000,,,1000
NCMAS-2023-5,Charlotte Petersen,University of Melbourne,Extracting the hidden structure of glass from particle vibrations,030700 Theoretical and Computational Chemistry: 100%,1000,,,1000
NCMAS-2023-28,Mohsen Talei,University of Melbourne,Developing predictive tools for cleaner combustion,"091508 Turbulent Flows: 50%
091305 Energy Generation, Conversion and Storage Engineering: 30%
091301 Acoustics and Noise Control (excl. Architectural Acoustics): 20%",,2000,,2000
NCMAS-2023-123,Lars Goerigk,University of Melbourne,Theoretical and Computational Quantum Chemistry Including Development of Computational Methods and Computational Materials Science,"030701 Quantum Chemistry: 80%
030303 Optical Properties of Materials: 20%",1500,,,1500
NCMAS-2023-53,Yun Wang,Griffith University,Computer-aided materials design for advanced manufacturing and clean environment,"030604 Electrochemistry: 50%
030603 Colloid and Surface Chemistry: 30%
090402 Catalytic Process Engineering: 20%",1000,4000,,5000
NCMAS-2023-29,Yvonne Wong,University of NSW,Cosmological simulations of dark matter axions scenarios,020203 Particle Physics: 100%,1000,,,1000
NCMAS-2023-27,Rhodri Davies,Australian National University,Revealing the 4-D Evolution of Earth's Engine,"040402 Geodynamics: 75%
040601 Geomorphology and Regolith and Landscape Evolution: 15%
040313 Tectonics: 10%",5500,2500,,8000
NCMAS-2023-25,Adrian Pudsey,Royal Melbourne Institute of Technology,Aerothermodynamics of High Speed Flight and Enabling Technologies,"091508 Turbulent Flows: 50%
090107 Hypersonic Propulsion and Hypersonic Aerodynamics: 50%",2500,,,2500
NCMAS-2023-69,Rajib Rahman,University of NSW,Multiscale Multiphysics Simulations of Silicon Quantum Information Processing Units,"020403 Condensed Matter Modelling and Density Functional Theory: 50%
020603 Quantum Information, Computation and Communication: 50%",5000,,,5000
NCMAS-2023-63,Dino Spagnoli,University of Western Australia,Computer Simulations of Co-Crystal and Defect Formations in Solids,"030700 Theoretical and Computational Chemistry: 30%
020403 Condensed Matter Modelling and Density Functional Theory: 30%
020404 Electronic and Magnetic Properties of Condensed Matter; Superconductivity: 20%
040302 Extraterrestrial Geology: 20%",1000,3000,,4000
NCMAS-2023-66,Michelle Coote,Flinders University,Computer-aided Chemical Design of Catalysts and Control Agents,"030305 Polymerisation Mechanisms: 20%
030701 Quantum Chemistry: 20%
030501 Free Radical Chemistry: 20%
030505 Physical Organic Chemistry: 20%
030601 Catalysis and Mechanisms of Reactions: 20%",8000,,,8000
NCMAS-2023-91,Aijun Du,Queensland University of Technology,Computational Design and Discovery of Novel Nanomaterials for Low Energy Electronics and Sustainable Energy/Environmental Applications,"030799 Theoretical and Computational Chemistry not elsewhere classified: 40%
020403 Condensed Matter Modelling and Density Functional Theory: 40%
100708 Nanomaterials: 20%",2700,7000,,9700
NCMAS-2023-40,Vincent Wheatley,University of Queensland,Scramjet-based Access-to-Space and Planetary Entry,"090107 Hypersonic Propulsion and Hypersonic Aerodynamics: 50%
091504 Fluidisation and Fluid Mechanics: 30%
091399 Mechanical Engineering not elsewhere classified: 20%",1000,10000,,11000
NCMAS-2023-3,Yuan-Sen Ting,Australian National University,"Modeling Spectra and Light Curves of Stars: 3D Magneto-Hydrodynamic Stellar Atmosphere, Non-Equilibrium Radiative Transfer, and Machine Learning Generative Models","020110 Stellar Astronomy and Planetary Systems: 80%
020104 Galactic Astronomy: 20%",15700,,,15700
NCMAS-2023-92,Liangzhi Kou,Queensland University of Technology,2D functional materials for physical and chemical applications,"020403 Condensed Matter Modelling and Density Functional Theory: 55%
030799 Theoretical and Computational Chemistry not elsewhere classified: 45%",3000,2900,,5900
NCMAS-2023-97,Ian Young,University of Melbourne,Global and regional projections of ocean wave climate over the 21st century,"040500 Oceanography: 60%
040104 Climate Change Processes: 40%",1000,,,1000
NCMAS-2023-14,Toby Allen,Royal Melbourne Institute of Technology,Mechanisms of ion channel function and modulation.,"030799 Theoretical and Computational Chemistry not elsewhere classified: 50%
029901 Biological Physics: 50%",1000,2000,,3000
NCMAS-2023-64,Patrick Burr,University of NSW,Designing a hydrogen-tolerant metal alloy,"091207 Metals and Alloy Materials: 50%
020403 Condensed Matter Modelling and Density Functional Theory: 25%
030307 Theory and Design of Materials: 25%",1600,3600,,5200
NCMAS-2023-114,Andrew Christofferson,Royal Melbourne Institute of Technology,"Multiscale computational investigation of materials and biomolecules for health, environmental, and commercial applications","030700 Theoretical and Computational Chemistry: 50%
100703 Nanobiotechnology: 50%",2000,2500,,4500
NCMAS-2023-78,Xiaoguang Duan,University of Adelaide,Regulation of potassium storage performance of molybdenum disulfide/nitrogen-doped carbon composite for potassium ion battery,"091305 Energy Generation, Conversion and Storage Engineering: 100%",1000,,,1000
NCMAS-2023-18,Cheong Xin Chan,University of Queensland,Comparative and Evolutionary Genomics of Microbes from Diverse Environments,"060409 Molecular Evolution: 20%
060408 Genomics: 20%
060407 Genome Structure and Regulation: 20%
060309 Phylogeny and Comparative Analysis: 20%
010406 Stochastic Analysis and Modelling: 20%",7600,,,7600
NCMAS-2023-143,Yan Jiao,University of Adelaide,Design Clean Energy Conversion and Storage Materials by Molecular Modelling,"091200 Materials Engineering: 50%
100700 Nanotechnology: 30%
030304 Physical Chemistry of Materials: 20%",5500,5500,,11000
NCMAS-2023-131,Luke Bennetts,University of Adelaide,Analysing and developing wave–ice interactions in the CICE6 sea ice model,"040602 Glaciology: 60%
049999 Earth Sciences not elsewhere classified: 40%",1000,,,1000
NCMAS-2023-42,Irene Yarovsky,Royal Melbourne Institute of Technology,Theoretical Investigation of novel materials for industrial and biomedical applications,"030307 Theory and Design of Materials: 70%
030799 Theoretical and Computational Chemistry not elsewhere classified: 30%",1000,5000,5000,11000
NCMAS-2023-7,Ben Corry,Australian National University,"Molecular simulation of membrane receptors, transporters and pores","060110 Receptors and Membrane Biology: 50%
060112 Structural Biology (incl. Macromolecular Modelling): 35%
029901 Biological Physics: 10%
090404 Membrane and Separation Technologies: 5%",3000,3400,4100,10500
NCMAS-2023-105,Ahmad Jabbarzadeh,University of Sydney,Multiscale Simulations of Polymeric Systems,"100708 Nanomaterials: 40%
090408 Rheology: 30%
091309 Tribology: 30%",1000,,,1000
NCMAS-2023-146,Ziqi Sun,Queensland University of Technology,Two-Dimensional Oxides Supported Non-noble Single-atom for Sustainable Fuel Generations,"030701 Quantum Chemistry: 40%
020406 Surfaces and Structural Properties of Condensed Matter: 20%
030601 Catalysis and Mechanisms of Reactions: 20%
091305 Energy Generation, Conversion and Storage Engineering: 20%",1000,2000,,3000
NCMAS-2023-73,Negin Nazarian,University of NSW,Urban canopy parameterization in mesoscale modeling to represent urban overheating and air quality,"040100 Atmospheric Sciences: 50%
040105 Climatology (excl. Climate Change Processes): 50%",1000,,,1000
NCMAS-2023-8,Andrew Neely,UNSW Canberra,Fluid-thermal-structural interactions for high-speed flight and propulsion,"090107 Hypersonic Propulsion and Hypersonic Aerodynamics: 40%
090103 Aerospace Structures: 40%
090101 Aerodynamics (excl. Hypersonic Aerodynamics): 20%",1000,,,1000
NCMAS-2023-138,Steven Armfield,University of Sydney,Large Scale Natural Convection Boundary Layers with Non Oberbeck-Boussinesq Effects,"091501 Computational Fluid Dynamics: 45%
091502 Computational Heat Transfer: 35%
091508 Turbulent Flows: 20%",1000,,,1000
NCMAS-2023-83,Amir Karton,University of New England,Using Supercomputers for Tackling Energy and Environmental Challenges in Australia,"030700 Theoretical and Computational Chemistry: 80%
030701 Quantum Chemistry: 20%",2000,,,2000
NCMAS-2023-35,Victoria Timchenko,University of NSW,Fluid dynamics and heat transfer enhancement for renewable and sustainable energy applications,"091502 Computational Heat Transfer: 40%
091501 Computational Fluid Dynamics: 40%
091300 Mechanical Engineering: 20%",1000,,,1000
NCMAS-2023-111,Andrew Ooi,University of Melbourne,Gravity Current Driven Smoke Dispersion In a Stratified Ambient,"050204 Environmental Impact Assessment: 40%
091502 Computational Heat Transfer: 30%
091501 Computational Fluid Dynamics: 30%",1000,3000,2000,6000
NCMAS-2023-68,Hrvoje Tkalcic,Australian National University,Probing the Australian-Pacific plate boundary by computational seismology: Macquarie Ridge in 3D,"040407 Seismology and Seismic Exploration: 70%
040305 Marine Geoscience: 20%
091103 Ocean Engineering: 10%",1500,,,1500
NCMAS-2023-119,Simon Ringer,University of Sydney,Exploring structure-property correlations in advanced materials: Nexus between computational simulation and atomic resolution microscopy,"020403 Condensed Matter Modelling and Density Functional Theory: 50%
091207 Metals and Alloy Materials: 30%
020401 Condensed Matter Characterisation Technique Development: 20%",7000,13000,,20000
NCMAS-2023-121,Ravichandar Babarao,Royal Melbourne Institute of Technology,In silico design of nanomaterials for energy and environmental sustainability applications,"020400 Condensed Matter Physics: 50%
091200 Materials Engineering: 30%
030700 Theoretical and Computational Chemistry: 20%",1400,3400,,4800
NCMAS-2023-31,Ekaterina Pas,Monash University,Towards Sustainable Energy Storage Technologies,"030701 Quantum Chemistry: 40%
030305 Polymerisation Mechanisms: 15%
030601 Catalysis and Mechanisms of Reactions: 15%
030307 Theory and Design of Materials: 15%
091205 Functional Materials: 15%",1700,,6600,8300
NCMAS-2023-41,Megan O'Mara,University of Queensland,Membrane targeting delivery systems for precision nanomedicine,"030403 Characterisation of Biological Macromolecules: 30%
060112 Structural Biology (incl. Macromolecular Modelling): 25%
030402 Biomolecular Modelling and Design: 25%
060110 Receptors and Membrane Biology: 20%",1000,,4000,5000
NCMAS-2023-77,Andrew Chacon,Other Australian Government Department,Modeling and developing neutron beamlines,029903 Medical Physics: 100%,1000,,,1000
NCMAS-2023-75,Elizabeth Ritchie-Tyo,Monash University,Tropical Cyclone Studies,"040104 Climate Change Processes: 25%
040503 Physical Oceanography: 25%
040102 Atmospheric Dynamics: 25%
040100 Atmospheric Sciences: 25%",1000,,,1000
NCMAS-2023-82,Nikhil Medhekar,Monash University,Nanoscale Materials: From Atomic Structure to Functional Properties,"030701 Quantum Chemistry: 20%
020403 Condensed Matter Modelling and Density Functional Theory: 20%
100708 Nanomaterials: 20%
020404 Electronic and Magnetic Properties of Condensed Matter; Superconductivity: 20%
091207 Metals and Alloy Materials: 10%
091205 Functional Materials: 10%",5400,8700,,14100
NCMAS-2023-102,Santiago Badia,Monash University,Towards large-scale forward and inverse solvers for multiphysics problems with moving interfaces,"010302 Numerical Solution of Differential and Integral Equations: 60%
010301 Numerical Analysis: 40%",1500,,,1500
NCMAS-2023-99,Dietmar Mueller,University of Sydney,Earth dynamics and resources over the last billion years,"040402 Geodynamics: 40%
040403 Geophysical Fluid Dynamics: 30%
040607 Surface Processes: 20%
040311 Stratigraphy (incl. Biostratigraphy and Sequence Stratigraphy): 10%",5800,1400,,7200
NCMAS-2023-95,Lianzhou Wang,University of Queensland,Use of Computational and Numerical Methods to Investigate Solid Crystalline Structures for Renewable Energy Applications,"091200 Materials Engineering: 50%
091205 Functional Materials: 50%",1000,1500,,2500
NCMAS-2023-106,Martina Lessio,University of NSW,Computational insights into transition metal-based materials for sustainable technologies,"030700 Theoretical and Computational Chemistry: 70%
030207 Transition Metal Chemistry: 10%
030206 Solid State Chemistry: 10%
030200 Inorganic Chemistry: 10%",1000,,,1000
NCMAS-2023-80,Zhe Liu,University of Melbourne,Integrated Computational Materials Engineering for Energy Materials,"100708 Nanomaterials: 50%
030699 Physical Chemistry not elsewhere classified: 25%
020403 Condensed Matter Modelling and Density Functional Theory: 25%",2100,10000,,12100
NCMAS-2023-93,Sherif Abbas,Deakin University,Energy Materials for a Circular Economy: Modelling Disorder in Spent Batteries,"020403 Condensed Matter Modelling and Density Functional Theory: 50%
030701 Quantum Chemistry: 50%",,1000,,1000
NCMAS-2023-59,Zaiping Guo,University of Adelaide,Interfacial Design for Rechargeable Ion Batteries,"030307 Theory and Design of Materials: 30%
030604 Electrochemistry: 25%
030600 Physical Chemistry (including Structural): 25%
091200 Materials Engineering: 20%",1000,,,1000
NCMAS-2023-4,Andrew Hogg,Australian National University,"The Ocean’s role in the climate system: from kilometres to global scales, from weeks to centuries","040503 Physical Oceanography: 50%
040104 Climate Change Processes: 30%
020303 Fluid Physics: 20%",12000,,,12000
NCMAS-2023-58,Julio Soria,Monash University,"Investigation of the structure, evolution and transport properties of turbulent wall-bounded shear flows using direct numerical simulations","091508 Turbulent Flows: 70%
091504 Fluidisation and Fluid Mechanics: 15%
090101 Aerodynamics (excl. Hypersonic Aerodynamics): 15%",8000,24000,,32000
NCMAS-2023-36,Claire Vincent,University of Melbourne,"Clouds, rain and Climate: Mapping a hierarchy of cloud and rainfall processes to our global climate system.","040102 Atmospheric Dynamics: 50%
040107 Meteorology: 50%",1000,,,1000
NCMAS-2023-67,Bishakhdatta Gayen,University of Melbourne,The role of convection and turbulent mixing in ocean circulation,"040403 Geophysical Fluid Dynamics: 50%
040503 Physical Oceanography: 50%",1200,5000,1000,7200
NCMAS-2023-135,Pramod Nair,Flinders University,Structure-based approaches to guide the discovery of novel anti-cancer agents for the treatment of myelofibrosis,"111204 Cancer Therapy (excl. Chemotherapy and Radiation Therapy): 60%
111206 Haematological Tumours: 20%
110202 Haematology: 20%",1000,,,1000
NCMAS-2023-140,Evatt Hawkes,University of NSW,Direct Numerical Simulations of Turbulent Combustion,"091508 Turbulent Flows: 75%
091305 Energy Generation, Conversion and Storage Engineering: 25%",1000,12000,20000,33000
NCMAS-2023-129,Jian-Feng Nie,Monash University,"Atomistic Understanding of Solute Segregation, Precipitate Stacking and Impact of Solute Clusters on Deformation Modes",091200 Materials Engineering: 100%,1000,1700,,2700
NCMAS-2023-98,Junming Ho,University of NSW,Accelerating the Design of Novel Catalysts and Drugs through Computational Chemistry,"030700 Theoretical and Computational Chemistry: 20%
030505 Physical Organic Chemistry: 20%
030602 Chemical Thermodynamics and Energetics: 20%
030400 Medicinal and Biomolecular Chemistry: 20%
030601 Catalysis and Mechanisms of Reactions: 20%",2000,3750,1000,6750
NCMAS-2023-38,Anna Ukkola,University of NSW,Will an improved land surface model enhance seasonal prediction of drought?,"040104 Climate Change Processes: 70%
040105 Climatology (excl. Climate Change Processes): 30%",1000,,,1000
NCMAS-2023-16,Martin Singh,Monash University,Understanding climate change and variability using idealised and comprehensive climate models,"040102 Atmospheric Dynamics: 25%
040104 Climate Change Processes: 25%
040103 Atmospheric Radiation: 20%
040107 Meteorology: 20%
040105 Climatology (excl. Climate Change Processes): 10%",1000,,,1000
NCMAS-2023-9,Timothy Duignan,Griffith University,Predicting electrolyte solution properties from first principles.,"030704 Statistical Mechanics in Chemistry: 25%
030700 Theoretical and Computational Chemistry: 25%
030605 Solution Chemistry: 25%
030600 Physical Chemistry (including Structural): 25%",1000,,,1000
